block_quantity, block_size, variance (+ if calloc was slower)
1, 1, 0.000370
11, 11, -0.000070
21, 21, 0.000280
31, 31, 0.000170
41, 41, -0.000070
51, 51, 0.000360
61, 61, 0.000490
71, 71, 0.000500
81, 81, 0.000510
91, 91, 0.000910
101, 101, 0.000810
111, 111, 0.000900
121, 121, 0.000400
131, 131, 0.000660
141, 141, 0.001540
151, 151, 0.001200
161, 161, 0.001740
171, 171, 0.001470
181, 181, 0.001460
191, 191, 0.002100
201, 201, 0.001570
211, 211, 0.001930
221, 221, -0.000890
231, 231, 0.001950
241, 241, 0.002080
251, 251, 0.002110
261, 261, 0.002830
271, 271, 0.002050
281, 281, 0.002640
291, 291, 0.002280
301, 301, 0.002010
311, 311, -0.000130
321, 321, -0.002540
331, 331, -0.006690
341, 341, -0.007930
351, 351, -0.011160
361, 361, -0.016160
371, 371, -0.016310
381, 381, -0.022970
391, 391, -0.027290
401, 401, -0.034590
411, 411, -0.026270
421, 421, -0.025880
431, 431, -0.030060
441, 441, -0.028810
451, 451, -0.027060
461, 461, -0.031660
471, 471, -0.030260
481, 481, -0.027040
491, 491, -0.029830
501, 501, -0.025420
511, 511, -0.021890
521, 521, -0.022390
531, 531, -0.021000
541, 541, -0.020550
551, 551, -0.021180
561, 561, -0.024100
571, 571, -0.020910
581, 581, -0.022740
591, 591, -0.027830
601, 601, -0.025780
611, 611, -0.023740
621, 621, -0.021300
631, 631, -0.020910
641, 641, -0.018720
651, 651, -0.020240
661, 661, -0.021900
671, 671, -0.016250
681, 681, -0.028040
691, 691, -0.034210
701, 701, -0.025950
711, 711, -0.023090
721, 721, -0.012770
731, 731, -0.009970
741, 741, -0.006700
751, 751, -0.011270
761, 761, -0.017070
771, 771, -0.024220
781, 781, -0.018740
791, 791, -0.002220
801, 801, -0.017870
811, 811, -0.028590
821, 821, -0.012560
831, 831, -0.012700
841, 841, -0.035600
851, 851, -0.007590
861, 861, -0.011420
871, 871, -0.027500
881, 881, -0.025890
891, 891, -0.013740
901, 901, -0.001500
911, 911, -0.008100
921, 921, -0.016670
931, 931, -0.016380
941, 941, -0.018800
951, 951, -0.007430
961, 961, -0.016640
971, 971, -0.024570
981, 981, -0.019400
991, 991, -0.015030
1001, 1001, -0.010850
1011, 1011, -0.008150
1021, 1021, -0.012860
1031, 1031, -0.009940
1041, 1041, -0.009990
1051, 1051, -0.012890
1061, 1061, -0.012100
1071, 1071, -0.009050
1081, 1081, -0.013060
1091, 1091, -0.009150
1101, 1101, -0.011070
1111, 1111, -0.011670
1121, 1121, -0.010920
1131, 1131, -0.007900
1141, 1141, -0.008220
1151, 1151, -0.008270
1161, 1161, -0.009150
1171, 1171, -0.008770
1181, 1181, -0.006930
1191, 1191, -0.006170
1201, 1201, -0.006760
1211, 1211, -0.007520
1221, 1221, -0.009140
1231, 1231, -0.008330
1241, 1241, -0.002400
1251, 1251, -0.006280
1261, 1261, -0.009970
1271, 1271, -0.011550
1281, 1281, -0.009530
1291, 1291, -0.033030
1301, 1301, 0.008900
1311, 1311, -0.011790
1321, 1321, -0.011780
1331, 1331, -0.005040
1341, 1341, -0.004650
1351, 1351, -0.003530
1361, 1361, -0.004840
1371, 1371, -0.011550
1381, 1381, -0.008400
1391, 1391, -0.015890
1401, 1401, -0.010750
1411, 1411, -0.018890
1421, 1421, -0.019510
1431, 1431, -0.038230
1441, 1441, 0.042530
1451, 1451, -0.029330
1461, 1461, -0.008340
1471, 1471, 0.005070
1481, 1481, -0.003350
1491, 1491, -0.002130
1501, 1501, 0.001370
1511, 1511, 0.002710
1521, 1521, 0.000180
1531, 1531, -0.000960
1541, 1541, 0.001280
1551, 1551, 0.000660
1561, 1561, 0.005660
1571, 1571, 0.002940
1581, 1581, 0.000390
1591, 1591, 0.001290
1601, 1601, 0.003080
1611, 1611, 0.000300
1621, 1621, -0.000990
1631, 1631, 0.004240
1641, 1641, 0.002590
1651, 1651, 0.000730
1661, 1661, -0.000110
1671, 1671, 0.001700
1681, 1681, 0.009870
1691, 1691, -0.019590
1701, 1701, 0.001480
1711, 1711, 0.004050
1721, 1721, 0.000220
1731, 1731, 0.000090
1741, 1741, 0.000670
1751, 1751, 0.000370
1761, 1761, 0.003720
1771, 1771, -0.000490
1781, 1781, 0.001610
1791, 1791, 0.005930
1801, 1801, -0.002900
1811, 1811, 0.005160
1821, 1821, 0.005910
1831, 1831, -0.000210
1841, 1841, 0.000910
1851, 1851, 0.003200
1861, 1861, 0.004730
1871, 1871, -0.002630
1881, 1881, 0.008550
1891, 1891, 0.008930
1901, 1901, 0.004360
1911, 1911, 0.000680
1921, 1921, 0.007010
1931, 1931, 0.002320
1941, 1941, 0.004250
1951, 1951, 0.002850
1961, 1961, -0.001060
1971, 1971, 0.000140
1981, 1981, 0.003740
1991, 1991, -0.000150
2001, 2001, -0.001720
2011, 2011, 0.001180
2021, 2021, 0.003010
2031, 2031, -0.004090
2041, 2041, 0.003590
2051, 2051, 0.002180
2061, 2061, -0.008990
2071, 2071, -0.012680
2081, 2081, -0.000460
2091, 2091, -0.011880
2101, 2101, -0.013200
2111, 2111, -0.001790
2121, 2121, -0.018110
2131, 2131, -0.017720
2141, 2141, -0.003540
2151, 2151, -0.005290
2161, 2161, -0.014180
2171, 2171, 0.016410
2181, 2181, -0.010580
2191, 2191, -0.016300
2201, 2201, -0.005140
2211, 2211, -0.007700
2221, 2221, -0.018550
2231, 2231, -0.009440
2241, 2241, 0.000130
2251, 2251, -0.015480
2261, 2261, -0.017420
2271, 2271, 0.009830
2281, 2281, 0.025690
2291, 2291, 0.018600
2301, 2301, 0.032140
2311, 2311, 0.025260
2321, 2321, -0.001610
2331, 2331, -0.012160
2341, 2341, -0.004060
